0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13749
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 16468
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/css/style.css HTTP/1.1" 200 28290
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/vendor/aos/aos.js HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/vendor/purecounter/purecounter_vanilla.js HTTP/1.1" 200 5417
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80496
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 143629
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/vendor/php-email-form/validate.js HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/js/main.js HTTP/1.1" 200 6315
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/img/hero-img.png HTTP/1.1" 200 41329
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/img/clients/client-1.png HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/img/clients/client-2.png HTTP/1.1" 200 4582
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/img/clients/client-3.png HTTP/1.1" 200 4707
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/img/clients/client-4.png HTTP/1.1" 200 9010
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/img/clients/client-5.png HTTP/1.1" 200 5123
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:39:04 +0900] "GET /finalProject/assets/img/clients/client-6.png HTTP/1.1" 200 3450
